Track_EN,الشعبة_AR,College_University_AR,College_University_EN,MinScore_2022_out_of_410,Percentage,KeySkillsRequired
Scientific - Science Track,علمي علوم,طب أسنان طنطا,Medicine Dentistry Tanta,376.0,91.71,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب أسنان عين شمس,Medicine Dentistry Ain Shams,376.0,91.71,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب أسنان الإسكندرية,Medicine Dentistry Alexandria,376.0,91.71,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب أسنان القاهرة,Medicine Dentistry Cairo,376.0,91.71,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب بني سويف,Medicine Beni Suef,376.0,91.71,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب أسنان قناة السويس بالإسماعيلية,Medicine Dentistry Canal Suez in Ismailia,376.0,91.71,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب الوادي الجديد,Medicine Wadi New,376.0,91.71,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب أسنان المنيا,Medicine Dentistry Minya,375.0,91.46,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب أسنان الفيوم,Medicine Dentistry Fayoum,375.0,91.46,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب أسنان السويس,Medicine Dentistry Suez,375.0,91.46,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب أسنان بني سويف,Medicine Dentistry Beni Suef,375.0,91.46,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,علاج طبيعي كفر الشيخ,Therapy Physical (Therapy) Kafr Sheikh,374.0,91.22,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,علاج طبيعي بنها,Therapy Physical (Therapy) Banha,373.0,90.98,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,علاج طبيعي القاهرة,Therapy Physical (Therapy) Cairo,373.0,90.98,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,صيدلة سوهاج,Pharmacy Sohag,373.0,90.98,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,علاج طبيعي جنوب الوادي,Therapy Physical (Therapy) South Wadi,372.0,90.73,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,علاج طبيعي السويس,Therapy Physical (Therapy) Suez,372.0,90.73,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,صيدلة المنصورة,Pharmacy Mansoura,372.0,90.73,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,علاج طبيعي بني سويف,Therapy Physical (Therapy) Beni Suef,372.0,90.73,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,صيدلة الزقازيق,Pharmacy Zagazig,371.0,90.49,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة طنطا,Pharmacy Tanta,371.0,90.49,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة جنوب الوادي,Pharmacy South Wadi,371.0,90.49,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة دمنهور,Pharmacy Damanhour,371.0,90.49,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة القاهرة,Pharmacy Cairo,370.0,90.24,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة عين شمس,Pharmacy Ain Shams,370.0,90.24,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة الإسكندرية,Pharmacy Alexandria,370.0,90.24,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة بور سعيد,Pharmacy Port Said,370.0,90.24,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة أسيوط,Pharmacy Asyut,370.0,90.24,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة المنوفية,Pharmacy Menoufia,370.0,90.24,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة قناة السويس بالإسماعيلية,Pharmacy Canal Suez in Ismailia,370.0,90.24,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة مدينة السادات,Pharmacy City of Sadat,370.0,90.24,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة و تصنيع دوائي كفر الشيخ,Pharmacy and Manufacturing Pharmaceutical Kafr Sheikh,370.0,90.24,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة المنيا,Pharmacy Minya,370.0,90.24,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة حلوان,Pharmacy Helwan,369.0,90.0,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة بني سويف,Pharmacy Beni Suef,369.0,90.0,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة الفيوم,Pharmacy Fayoum,369.0,90.0,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,صيدلة ج الوادي الجديد,Pharmacy Wadi New,369.0,90.0,"Chemical precision, memorizing drug compositions, patient communication, understanding drug interactions"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات سوهاج,Computers and Information Sohag,367.0,89.51,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,الذكاء الاصطناعى كفر الشيخ,Intelligence Artificial (Intelligence) Kafr Sheikh,366.0,89.27,"Programming (Python), math and statistics, machine learning, logical problem solving"
Scientific - Science Track,علمي علوم,هندسة القاهرة,Engineering Cairo,366.0,89.27,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات المنصورة,Computers and Information Mansoura,366.0,89.27,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,هندسة المنصورة,Engineering Mansoura,366.0,89.27,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,طب بيطري المنصورة,Medicine Veterinary Mansoura,365.0,89.02,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات قنا,Computers and Information Qena,365.0,89.02,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات و علوم البيانات الإسكندرية,Computers and Science Data Alexandria,365.0,89.02,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,علوم البترول والتعدين مطروح,Science Petroleum and Mining Matrouh,365.0,89.02,"Advanced chemistry and physics, geological analysis, fieldwork"
Scientific - Science Track,علمي علوم,طب بيطري سوهاج,Medicine Veterinary Sohag,364.0,88.78,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,هندسة الزقازيق,Engineering Zagazig,363.0,88.54,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,طب بيطري الزقازيق,Medicine Veterinary Zagazig,363.0,88.54,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات أسيوط,Computers and Information Asyut,363.0,88.54,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات كفر الشيخ,Computers and Information Kafr Sheikh,363.0,88.54,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,طب بيطري كفر الشيخ,Medicine Veterinary Kafr Sheikh,363.0,88.54,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,طب بيطري عين شمس,Medicine Veterinary Ain Shams,363.0,88.54,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات دمياط,Computers and Information Damietta,363.0,88.54,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات طنطا,Computers and Information Tanta,362.0,88.29,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,هندسة دمياط,Engineering Damietta,362.0,88.29,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,حاسبات و ذكاء إصطناعي القاهرة,Computers and Intelligence Artificial (Intelligence) Cairo,362.0,88.29,"Programming (Python), math and statistics, machine learning, logical problem solving"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات المنيا,Computers and Information Minya,362.0,88.29,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات قناة السويس بالإسماعيلية,Computers and Information Canal Suez in Ismailia,362.0,88.29,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات الزقازيق,Computers and Information Zagazig,362.0,88.29,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,طب بيطري المنوفية,Medicine Veterinary Menoufia,362.0,88.29,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,طب بيطري دمنهور,Medicine Veterinary Damanhour,362.0,88.29,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,هندسة قناة السويس بالإسماعيلية,Engineering Canal Suez in Ismailia,362.0,88.29,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,طب بيطري الإسكندرية,Medicine Veterinary Alexandria,361.0,88.05,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,هندسة عين شمس,Engineering Ain Shams,361.0,88.05,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,طب بيطري أسيوط,Medicine Veterinary Asyut,361.0,88.05,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات الأقصر,Computers and Information Luxor,361.0,88.05,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات عين شمس,Computers and Information Ain Shams,361.0,88.05,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات وذكاء اصطناعي السادات,Computers and (Artificial) Intelligence Artificial (Intelligence) Sadat,361.0,88.05,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات بني سويف,Computers and Information Beni Suef,360.0,87.8,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,ذكاء إصطناعي المنوفية شبين الكوم,Intelligence Artificial (Intelligence) Menoufia Shebin Kom,360.0,87.8,"Programming (Python), math and statistics, machine learning, logical problem solving"
Scientific - Science Track,علمي علوم,طب بيطري بنها,Medicine Veterinary Banha,360.0,87.8,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,طب بيطري جنوب الوادي,Medicine Veterinary South Wadi,360.0,87.8,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,حاسبات و ذكاء إصطناعي بنها,Computers and Intelligence Artificial (Intelligence) Banha,360.0,87.8,"Programming (Python), math and statistics, machine learning, logical problem solving"
Scientific - Science Track,علمي علوم,طب بيطري القاهرة,Medicine Veterinary Cairo,360.0,87.8,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,طب بيطري المنيا,Medicine Veterinary Minya,359.0,87.56,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,هندسة بور سعيد,Engineering Port Said,359.0,87.56,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات المنوفية بشبين الكوم,Computers and Information Menoufia in Shebin Kom,359.0,87.56,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات السويس,Computers and Information Suez,359.0,87.56,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة,Computers and Intelligence Artificial (Intelligence) South Wadi Branch Hurghada,359.0,87.56,"Programming (Python), math and statistics, machine learning, logical problem solving"
Scientific - Science Track,علمي علوم,حاسبات ومعلومات الفيوم,Computers and Information Fayoum,358.0,87.32,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات و ذكاء إصطناعي حلوان,Computers and Intelligence Artificial (Intelligence) Helwan,358.0,87.32,"Programming (Python), math and statistics, machine learning, logical problem solving"
Scientific - Science Track,علمي علوم,طب بيطري قناة السويس بالإسماعيلية,Medicine Veterinary Canal Suez in Ismailia,358.0,87.32,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,طب بيطري مدينة السادات,Medicine Veterinary City of Sadat,358.0,87.32,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,هندسة طنطا,Engineering Tanta,358.0,87.32,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,طب بيطري بني سويف,Medicine Veterinary Beni Suef,357.0,87.07,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,حاسبات و معلومات العريش,Computers and Information Al-Arish,357.0,87.07,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,حاسبات وذكاء اصطناعي مطروح,Computers and (Artificial) Intelligence Artificial (Intelligence) Matrouh,357.0,87.07,"Programming logic, discrete math, problem solving, technical English"
Scientific - Science Track,علمي علوم,طب بيطري أسوان,Medicine Veterinary Aswan,357.0,87.07,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,طب بيطري مطروح,Medicine Veterinary Matrouh,357.0,87.07,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,طب بيطري الوادي الجديد,Medicine Veterinary Wadi New,356.0,86.83,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,طب بيطري العريش,Medicine Veterinary Al-Arish,356.0,86.83,"Love of animals, anatomical/biological understanding, patience, fieldwork ability"
Scientific - Science Track,علمي علوم,هندسة كفر الشيخ,Engineering Kafr Sheikh,355.0,86.59,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,ألسن كفر الشيخ,Al-Alsun (Languages) Kafr Sheikh,355.0,86.59,"Fluency in foreign languages, translation, strong linguistic memory"
Scientific - Science Track,علمي علوم,هندسة إلكترونية المنوفية بمنوف,Engineering Electronic Menoufia in Menouf,354.0,86.34,"Math and physics, embedded systems programming, circuit analysis"
Scientific - Science Track,علمي علوم,تكنولوجيا العلوم الصحية التطبيقية المنوفية,Technology Science Health Applied Menoufia,354.0,86.34,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,هندسة المنوفية بشبين الكوم,Engineering Menoufia in Shebin Kom,354.0,86.34,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,هندسة دمنهور,Engineering Damanhour,354.0,86.34,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,هندسة بنها بشبرا,Engineering Banha in Shubra,353.0,86.1,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,هندسة بنها,Engineering Banha,353.0,86.1,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,هندسة الإسكندرية,Engineering Alexandria,353.0,86.1,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,علوم سوهاج,Science Sohag,352.0,85.85,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,اقتصاد و علوم سياسية القاهرة,Economics and Science Political Cairo,352.0,85.85,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,هندسة السويس,Engineering Suez,352.0,85.85,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,هندسة حلوان,Engineering Helwan,352.0,85.85,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,تكنولوجيا العلوم الصحية التطبيقية بني سويف,Technology Science Health Applied Beni Suef,351.0,85.61,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,تمريض بور سعيد,Nursing Port Said,351.0,85.61,"Humane caregiving, tolerance for physical/psychological stress, precision in following medical instructions"
Scientific - Science Track,علمي علوم,هندسة حلوان بالمطرية,Engineering Helwan in Al-Matariya,350.0,85.37,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,هندسة سوهاج,Engineering Sohag,350.0,85.37,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,الملاحة وتكنولوجيا الفضاء بني سويف,Navigation and Technology Space Beni Suef,350.0,85.37,"Applied technical skills depending on specialization, practical problem solving"
Scientific - Science Track,علمي علوم,علوم دمنهور,Science Damanhour,349.0,85.12,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,ألسن قناة السويس بالإسماعيلية,Al-Alsun (Languages) Canal Suez in Ismailia,349.0,85.12,"Fluency in foreign languages, translation, strong linguistic memory"
Scientific - Science Track,علمي علوم,هندسة الفيوم,Engineering Fayoum,348.0,84.88,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,علوم الزقازيق,Science Zagazig,347.0,84.63,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,علوم كفر الشيخ,Science Kafr Sheikh,347.0,84.63,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,هندسة أسوان,Engineering Aswan,347.0,84.63,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,تمريض المنصورة,Nursing Mansoura,347.0,84.63,"Humane caregiving, tolerance for physical/psychological stress, precision in following medical instructions"
Scientific - Science Track,علمي علوم,معهد فني صحى المنصوره,Institute Technical Health Mansoura,346.0,84.39,"Applied lab/technical skills, precision in tests and health procedures"
Scientific - Science Track,علمي علوم,هندسة بني سويف,Engineering Beni Suef,346.0,84.39,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,الدراسات الاقتصادية و العلوم السياسة الإسكندرية,Studies Economic and Science Political Alexandria,346.0,84.39,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,علوم المنصورة,Science Mansoura,346.0,84.39,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,علوم القاهرة,Science Cairo,346.0,84.39,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,علوم جنوب الوادي,Science South Wadi,346.0,84.39,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,علوم الإسكندرية,Science Alexandria,345.0,84.15,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,علوم أسيوط,Science Asyut,345.0,84.15,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,هندسة المنيا,Engineering Minya,345.0,84.15,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,هندسة جنوب الوادي,Engineering South Wadi,344.0,83.9,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,هندسة أسيوط,Engineering Asyut,344.0,83.9,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,تمريض طنطا,Nursing Tanta,344.0,83.9,"Humane caregiving, tolerance for physical/psychological stress, precision in following medical instructions"
Scientific - Science Track,علمي علوم,علوم طنطا,Science Tanta,343.0,83.66,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,سياسة واقتصاد السويس,Politics and Economics Suez,343.0,83.66,"Critical analysis, academic writing, economic/political understanding"
Scientific - Science Track,علمي علوم,هندسة الطاقة أسوان,Engineering Energy Aswan,343.0,83.66,"Strong math and physics, engineering design thinking, calculation precision, later AutoCAD and simulation software"
Scientific - Science Track,علمي علوم,علوم بنها,Science Banha,343.0,83.66,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,معهد فني صحى طنطا,Institute Technical Health Tanta,342.0,83.41,"Applied lab/technical skills, precision in tests and health procedures"
Scientific - Science Track,علمي علوم,علوم المنيا,Science Minya,342.0,83.41,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
Scientific - Science Track,علمي علوم,علوم عين شمس,Science Ain Shams,342.0,83.41,"Analytical scientific thinking, math/chemistry/physics depending on department, scientific research"
